operator,category,representative_dtype,representative_case,torch_baseline_class,torch_internal_path,torch_vs_dsl_primary_explanation,triton_cutile_algorithm_aligned,triton_cutile_task_decomposition_aligned,triton_cutile_precision_aligned,triton_cutile_hardware_path_aligned,faster_backend,csv_gap_ratio,primary_backend_gap_mechanism,secondary_backend_gap_mechanism,triton_csv_latency,cutile_csv_latency,torch_csv_latency,cutile_over_triton_instruction_ratio,triton_tensor_pipeline_pct,cutile_tensor_pipeline_pct,triton_alu_pipeline_pct,cutile_alu_pipeline_pct,triton_registers_per_thread,cutile_registers_per_thread,triton_smem_per_cta,cutile_smem_per_cta,triton_achieved_occupancy,cutile_achieved_occupancy,triton_bank_conflict_pct,cutile_bank_conflict_pct,triton_tma_path,cutile_tma_path,triton_mma_path,cutile_mma_path,key_stall_evidence,memory_transaction_evidence,report_section_or_page,relevant_code_paths,confidence,recommended_paper_location
mul2,Point-wise,int8,n=20971520,generic_aten_kernel,x * 2 -> single ATen elementwise kernel,"report p27: parity for fp32 (all bandwidth-bound); narrow dtypes expose fixed instruction overhead (torch int8 slower via vectorization width, cf. relu p37)",yes,yes,yes,yes,triton,1.137931034482759 (cutile/triton at representative case; CSV),fixed_tile_lowering_overhead,backend_parity,0.0087 ms,0.0099 ms,0.0128 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)","0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)",none,none,none,none,"report p27-28: same load/mul/store, transactions aligned; residual gap ~1.15x at INT8 from tile bookkeeping when memory time shrinks (T ~ max(Tmem, Tissue))",report p27: memory transactions well aligned between backends (no numbers),NVIDIA_Report(2).pdf p26-28,"benchmarks/operators/mul2/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.load,ct.store",medium,RQ3 main text
quantize_global,Point-wise,fp32,n=20971520,generic_aten_kernel,x.to(torch.float16) -> single ATen cast kernel,CSV only: exact 3-way parity (0.0217 ms),yes,yes,yes,yes,tie,1.0 (triton/cutile at representative case; CSV),backend_parity,,0.0217 ms,0.0217 ms,0.0217 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)","7.106 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)",none,none,none,none,not covered in NVIDIA_Report(2),not covered in NVIDIA_Report(2),not covered in NVIDIA_Report(2),"benchmarks/operators/quantize_global/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.load,ct.store",low,omit
radix_sort,Data Layout,int32,n=20000000,vendor_library_kernel,"torch.sort -> CUB radix sort (larger radix digit, onesweep/scan; report p8-9)","report p8-9: vendor radix-sort algorithm advantage (fewer passes, less intermediate traffic) vs matched 2-bit x 16-pass LSD pipeline (80 launches) in both DSLs; ~1.4x torch over Triton",yes (identical 2-bit/16-pass radix pipeline),yes,yes,partial (report p9: cuTile ct.gather chosen over ct.load box/TMA staging; Triton pointer loads),triton,2.0480983343724946 (cutile/triton at representative case; CSV),shared_memory_staging,register_pressure,1.1227 ms,2.2994 ms,0.8039 ms,2.31x (report p9: scatter kernel dynamic warp instructions),NA (not applicable),NA (not applicable),NA,NA,NA,"NA (report p9: higher register and SMEM use, no number)",NA,NA,"~45% (report p9, scatter)","~23% (report p9, scatter)","0.4883 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int32)","0.8735 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int32)",none,"ct.gather path (report p9: ct.load would trigger box/TMA-to-SMEM staging; count 0.53->4.90 ms, scatter 2.01->3.00 ms)",none,none,"report p9: scatter stage carries the gap (heavier tile management + smem staging, occupancy 45%->23%); primitive-selection crossover ablation",report p9: DRAM traffic essentially identical on both sides; gap = instruction/resource overhead of the same scatter,NVIDIA_Report(2).pdf p8-9,"benchmarks/operators/radix_sort/impl_triton.py:tl.load,tl.cumsum,tl.store ; impl_cutile.py:ct.gather,ct.scatter,ct.cumsum",high,RQ3 main text
relu,Point-wise,int8,n=20971520,generic_aten_kernel,torch.relu -> single ATen elementwise kernel (int8 'Char' path vectorizes ~4 bytes/thread vs ~16 bytes/lane in DSLs; report p37),report p37: fp16/bf16/fp32 parity (fp32 all ~5.6 TB/s); torch int8 ~1.5x slower than Triton due to dtype-specific vectorization width,yes,yes,yes,yes,triton,1.3369565217391304 (cutile/triton at representative case; CSV),fixed_tile_lowering_overhead,backend_parity,0.0092 ms,0.0123 ms,0.0138 ms,1.85x (report p37: int8 total dynamic instructions),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)","0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)",none,none,none,none,"report p37: int8 DRAM utilization ~35-44% -> instruction/latency-bound; cuTile 1.85x dynamic instructions (tile descriptors, addressing, predicates) exposed -> ~1.34x; fp16/bf16/fp32 ~1.0",report p37: both LDG.E.128/STG.E.128; fp32 effective bandwidth ~5.6 TB/s; int8 DRAM ~35-44%,NVIDIA_Report(2).pdf p37,"benchmarks/operators/relu/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.load,ct.where,ct.store",high,RQ3 main text
reverse_array,Data Layout,int8,n=20000000,generic_aten_kernel,input.flip(0).contiguous() -> generic index_elementwise_kernel (report p33),"report p33: generic indexing kernel with heavier per-element offset/shape/stride math vs simple reverse address formula; 2-3.4x, largest at int8","yes (read N-1-offset, contiguous forward store)",yes,yes,yes,cutile,1.0161290322580645 (triton/cutile at representative case; CSV),backend_parity,gather_scatter_lowering,0.0126 ms,0.0124 ms,0.0424 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)","0.3276 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=int8)",none,none (ct.gather element reads),none,none,report p33: reversed decreasing addresses defeat wide ascending vector loads on both sides (Triton degenerates to narrow loads + register reshuffle; cuTile ct.gather); output stores coalesce on both; CSV 1.05-1.1x fluctuations = config/noise,NA,NVIDIA_Report(2).pdf p33,"benchmarks/operators/reverse_array/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.gather,ct.store",medium,mechanism table only
rmsnorm,Reduction/Norm,fp16,K=10240,generic_aten_kernel,F.rms_norm -> ATen general layer_norm-template RMSNorm variant (fixed block size/vectorization; fp16 LDG.E.U16 loads; report p19),"report p19-20: fixed generic template (LDG.E.U16 fp16 loads, fixed 128-thread organization) vs tunable specialized kernels; Triton ~1.18x (fp16) / 1.48x (fp32) faster than torch","yes (two-pass, fp32 accumulation)",yes,yes,yes,triton,1.1746031746031746 (cutile/triton at representative case; CSV),fixed_tile_lowering_overhead,register_pressure,0.0189 ms,0.0222 ms,0.0218 ms,NA,NA,NA,NA,NA,"~32 (report p19, fp32)","~68 (report p19, fp32)",NA,NA,NA,NA,"9.768 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","4.814 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,none,none,none,"report p19-20: cuTile higher compute utilization / slightly lower effective bandwidth (tile-management overhead), fewer tuning knobs (no num_stages); 3-10% slower",report p19: torch fp16 LDG.E.U16 vs Triton/cuTile LDG.E.128,NVIDIA_Report(2).pdf p19-20,"benchmarks/operators/rmsnorm/impl_triton.py:tl.sum ; impl_cutile.py:ct.load,ct.sum",medium,mechanism table only
rope,Point-wise,fp16,seq_len=20480,eager_multi_kernel,eager rotate-half: 4 mul + 1 sub + 1 add + torch.cat -> 7 kernels with intermediate materialization (report p17),report p17: 7 eager kernels + intermediate write-backs vs single fused group-level RoPE kernel,yes,"yes (one CTA per group of heads, cos/sin shared)",yes,partial (cuTile group-level box load/store may go through tile descriptors/smem staging; Triton pointer loads),triton,1.0412573673870333 (cutile/triton at representative case; CSV),backend_parity,fixed_tile_lowering_overhead,0.0509 ms,0.053 ms,0.5698 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","6.19 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,box load/store (report p17: tile description/address/possible smem staging),none,none,"report p17: NCU sweep-max fp16 55.1 us (cuTile) vs 54.5 us (Triton), ~1% tail; cuTile Compute% higher but hidden by memory-bound regime",report p17: DRAM utilization and effective bandwidth high for both (no numbers),NVIDIA_Report(2).pdf p17,"benchmarks/operators/rope/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.load,ct.store",medium,mechanism table only
sigmoid,Point-wise,fp16,n=50000000,generic_aten_kernel,torch.sigmoid -> ATen vectorized_elementwise_kernel (half sigmoid path with per-element half<->float conversion; report p20),report p20-21: fp32 all three DRAM-bound and tied (60.8/60.9/61.0 us); fp16/bf16 issue-efficiency of exp+convert chain: torch 4.45 TB/s vs Triton 5.84 TB/s (NCU),yes,yes,yes (exp in fp32),yes (no TC/TMA),triton,1.4722222222222223 (cutile/triton at representative case; CSV),fixed_tile_lowering_overhead,other,0.0324 ms,0.0477 ms,0.0452 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA (report p20: torch occupancy high - qualitative),NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,none,none,none,"report p21/p27: cuTile 128 threads/CTA vs Triton 256 for the same 4096-element tile -> longer per-thread chain, fewer overlapping requests; ct.exp lowers to a longer sequence + conversions -> ~1.5x slower for fp16/bf16 (secondary mechanism 'other' = transcendental lowering)","report p20: effective throughput torch 4.45 TB/s vs Triton 5.84 TB/s (fp16, NCU)","NVIDIA_Report(2).pdf p20-21,p27-28","benchmarks/operators/sigmoid/impl_triton.py:tl.load,tl.store,tl.exp ; impl_cutile.py:ct.load,ct.exp,ct.store",high,RQ3 main text
softmax,Reduction/Norm,fp16,n_cols=10240,generic_aten_kernel,"torch.softmax -> single official ATen softmax kernel (whole-row SMEM cache, multi-round SMEM reduction, precise exp; report p36-37)","report p37: vendor kernel organization (heavier threading, SMEM caching, precise exp path) vs specialized DSL kernel; torch closer to cuTile because both pay precise exp + SMEM path","yes (two-pass online softmax, fp32 state, same block-size space, same exp count)",yes,partial (report p36: math-function precision differs - tl.exp EX2 fast path vs ct.exp high-precision sequence),partial (report p36: cuTile box load auto-TMA + smem staging; Triton vectorized LDG),triton,1.8230088495575223 (cutile/triton at representative case; CSV),other,shared_memory_staging,0.0226 ms,0.0412 ms,0.045 ms,"NA (report p36: XU cycles ~1.9x, not total instructions)",NA (not applicable),NA (not applicable),NA,NA,NA,NA,NA,NA,NA,NA,"2.997 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","6.068 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none (vectorized LDG; report p36),box load -> TMA + smem staging (report p36),none,none,"report p36: 'other' = transcendental lowering: Triton tl.exp -> approximate EX2 fast path; cuTile ct.exp expanded to heavier high-precision FFMA+MUFU sequence; XU cycles ~1.9x and XU is cuTile's main bottleneck; fp16 ~1.82x, fp32 ~1.25x",report p36: cuTile box load via TMA + smem staging (more smem instructions and syncs),NVIDIA_Report(2).pdf p36-37,"benchmarks/operators/softmax/impl_triton.py:tl.exp,tl.max,tl.sum ; impl_cutile.py:ct.load,ct.exp,ct.max,ct.sum",high,RQ3 main text
streamk_matmul,Matrix Mult./Attn,fp16,"m=8192, n=28672",vendor_library_kernel,"torch.matmul (TF32 enabled) -> cuBLAS/CUTLASS data-parallel GEMM with 2-SM cluster MMA, TMA multicast, warp-specialized producer/consumer (report p34)",report p34-35: algorithm mismatch (Stream-K with atomic fixup + fp32 scratch vs regular GEMM) plus library kernel organization: ~0.92M UTCMMA vs ~3.6M for the DSLs; TC util ~69% vs 46-51%,"no vs torch (Stream-K vs data-parallel GEMM); yes between DSLs (same Stream-K partition, tile space, atomic fixup)",yes (DSL-DSL),yes,yes (all three TMA + tcgen05; report p34),triton,1.0640372522486667 (cutile/triton at representative case; CSV),runtime_loop_dependency,fixed_tile_lowering_overhead,2.5126 ms,2.6735 ms,1.3547 ms,NA (report p35: cuTile TMA box loads per K-step 3 (fp16) / up to 5 (fp32) vs Triton 2),46-51% (report p34: range for both DSLs),46-51% (report p34: range for both DSLs),NA,NA,NA,NA,NA,NA,NA,NA,"18.09 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","0.2001 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",TMA (report p34),TMA box loads (report p35: split into more TMA loads per K-step),tcgen05 (report p34),tcgen05 (report p34),report p35: first_wave cuTile dynamic while bound cannot form num_stages-like software pipeline (~4x slower on small shapes); full_tiles cuTile may be faster (more active Tensor Core pipe); large sizes converge to near parity,report p34-35: torch ~0.92M UTCMMA vs DSL ~3.6M (2-CTA cluster MMA shares B tile); cuTile 3-5 TMA loads per K-step vs Triton 2,NVIDIA_Report(2).pdf p34-35,"benchmarks/operators/streamk_matmul/impl_triton.py:TensorDescriptor,tl.dot,tl.atomic_add,num_stages ; impl_cutile.py:ct.mma,ct.atomic_add,while-loop",high,RQ3 main text
swiglu,Point-wise,fp16,N=20480,eager_multi_kernel,"F.silu(x)*y -> 2 eager kernels (silu materialized, then multiply): read x, write tmp, read tmp, read y, write out (report p25)",report p25: intermediate materialization + extra launch (5 tensor-level r/w vs 3) -> torch ~2x slower than Triton,yes,yes,yes (fp32 sigmoid in registers),yes,triton,1.3280212483399734 (cutile/triton at representative case; CSV),fixed_tile_lowering_overhead,,0.0753 ms,0.1 ms,0.1483 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA (report p25: cuTile lower actual occupancy - qualitative),NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,none,none,none,"report p25-26: cuTile whole-tile load->compute->store pipeline with extra tile management/address/barrier -> lower sustained transaction issue rate; 1.3-1.4x fp16/bf16, ~1.0x fp32","report p25-26: fp16 Triton DRAM utilization ~87.5%, ~6.71 TB/s; cuTile ~66.9%, ~5.13 TB/s","NVIDIA_Report(2).pdf p25-26,p27-28","benchmarks/operators/swiglu/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.load,ct.exp,ct.store",high,RQ3 main text
top_k_selection,Data Layout,fp32,"N=1048576, k=1024",generic_aten_kernel,torch.topk(sorted=True).values -> generic multi-kernel select/sort pipeline incl. index handling (report p10),report p10: generic torch.topk multi-kernel select/sort + index work vs values-only hierarchical tournament kernels,no (by design: Triton tl.topk partial selection vs cuTile fully-unrolled bitonic sorting network - primitive availability),partial (same outer hierarchical tournament),yes,yes (no TC/TMA),cutile,1.5814167433302666 (triton/cutile at representative case; CSV),primitive_availability,algorithm_or_task_decomposition,0.1719 ms,0.1087 ms,0.1772 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73.97 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)","0.3801 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)",none,none,none,none,"report p10: at K=1024 tl.topk approaches full-sort cost; cuTile static compare-swap network keeps work in registers, 1.4-1.7x per-kernel advantage (qualitative)",NA,NVIDIA_Report(2).pdf p10-11,benchmarks/operators/top_k_selection/impl_triton.py:tl.topk ; impl_cutile.py: unrolled bitonic network (ct.where/ct.max),medium,RQ3 main text
vector_add,Point-wise,fp32,n=20971520,generic_aten_kernel,x + y -> single ATen elementwise kernel,CSV only: 3-way parity within ~3% on all dtypes,yes,yes,yes,yes,tie,1.0 (triton/cutile at representative case; CSV),backend_parity,,0.0396 ms,0.0396 ms,0.0402 ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)","0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp32)",none,none,none,none,not covered in NVIDIA_Report(2),not covered in NVIDIA_Report(2),not covered in NVIDIA_Report(2),"benchmarks/operators/vector_add/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.load,ct.store",low,omit
weight_dequant,Point-wise,fp16,M=10240,eager_multi_kernel,"S[row_idx[:,None], col_idx[None,:]] advanced indexing -> materialized MxN scale (~210 MB) + int64 index grids (~1.68 GB), then X*scale (report p12-13)",report p12-13: ATen advanced indexing materializes a full scale matrix and int64 index tensors across multiple kernels; ideal traffic ~420 MB vs torch several GB,yes (same flattened per-element scale lookup schedule),yes,yes,partial (cuTile ct.gather with smem staging vs Triton register streaming; no TC/TMA),triton,2.7452135493372607 (cutile/triton at representative case; CSV),gather_scatter_lowering,register_pressure,0.0679 ms,0.1864 ms,1.3179 ms,NA,NA,NA,NA (report p13: cuTile becomes ALU/resource-bound - qualitative),NA,NA (report p13: higher register pressure - qualitative),NA,NA,NA,NA,NA,"0 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)","0.1584 (C_LSU, Figures/_data_ncu_conflict.csv, primary kernel, dtype=fp16)",none,none (ct.gather; report p13: smem staging),none,none,"report p13: cuTile ct.gather lowering adds tile index handling, padding/bounds logic, smem staging, register pressure -> ALU/resource-bound; Triton memory-bound streaming",report p13: ideal fp16 traffic ~420 MB (read X 210 + write Y 210 + S 12.8 KB); torch extra >=210 MB scale + 1.68 GB index grids,NVIDIA_Report(2).pdf p12-13,"benchmarks/operators/weight_dequant/impl_triton.py:tl.load,tl.store ; impl_cutile.py:ct.gather",medium,Appendix E.1
