operator,dtype,ncu_profiled_case_params,sweep_max_case,fig4_sweepmax_case_if_different_BEFORE_fix,torch_csv_latency_ms,triton_csv_latency_ms,cutile_csv_latency_ms,triton_over_torch_speedup,cutile_over_torch_speedup,triton_over_cutile_ratio,torch_kernel_count,triton_kernel_count,cutile_kernel_count,primary_torch_kernel,primary_triton_kernel,primary_cutile_kernel,triton_winning_config,cutile_winning_config,ncu_report_section_or_page,benchmark_source_file,NCU_PROFILE_DURATION_triton_total_us,NCU_PROFILE_DURATION_cutile_total_us,NCU_PROFILE_n_launches_triton,NCU_PROFILE_n_launches_cutile,ncu_over_csv_triton,ncu_over_csv_cutile,catalogue_params_match_fig4_sweepmax_BEFORE_fix
leaky_relu,fp32,n=50000000,n=50000000,,0.061,0.0609,0.0617,1.0016420361247946,0.9886547811993517,1.013136288998358,NA,1,1,NA (not stated in report),leaky_relu_kernel,leaky_relu_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 8, ""num_stages"": 2}","{""tile"": 4096, ""occupancy"": 8}",not covered in report,results/csv/leaky_relu_autotune.csv,62.24,64.22,1,1,1.022,1.041,yes
linear_self_attention,fp32,"D=256, M=10000","D=256, M=10000",,0.0934,0.2167,0.4748,0.4310106137517305,0.19671440606571186,2.191047531149054,14 (2 CUTLASS TF32 GEMM + reduce + gemv + elementwise),8,5,cutlass3x_sm100_tensorop_tf32gemm x2,z_kernel,z_kernel,"{""kv_BLOCK_M"": 32, ""kv_BLOCK_N"": 32, ""kv_BLOCK_K"": 64, ""kv_num_warps"": 4, ""kv_num_stages"": 3, ""out_BLOCK_M"": 64, ""out_BLOCK_N"": 128, ""out_BLOCK_K"": 32, ""out_num_warps"": 8, ""out_num_stages"": 3}","{""kv_block_m"": 128, ""kv_block_n"": 32, ""kv_block_k"": 64, ""kv_occupancy"": 16, ""out_block_m"": 64, ""out_block_n"": 32, ""out_block_k"": 64, ""out_occupancy"": 4}",NVIDIA_Report(2).pdf p22,results/csv/linear_self_attention_autotune.csv,203.30,498.98,5,5,0.938,1.051,yes
matmul_fp32_fp16_fp8,fp32,K=20480,K=20480,,0.9466,1.413,0.9145,0.6699221514508139,1.035101148168398,0.6472045293701344,1 per dtype (nvjet / scaled_mm),1,1,nvjet 256x256 2-CTA (fp16) / cutlass TF32 / _scaled_mm (fp8),matmul_kernel,matmul_kernel,"{""BLOCK_SIZE_M"": 128, ""BLOCK_SIZE_N"": 128, ""BLOCK_SIZE_K"": 32, ""GROUP_SIZE_M"": 8, ""num_warps"": 4, ""num_stages"": 3}","{""tm"": 256, ""tn"": 256, ""tk"": 64, ""group_size_m"": 8, ""occupancy"": 8}",NVIDIA_Report(2).pdf p2,results/csv/matmul_fp32_fp16_fp8_autotune.csv,1367.39,867.78,1,1,0.968,0.949,yes
matmul_fp32_fp16_fp8,fp16,K=20480,K=20480,,0.4645,0.5421,0.4834,0.8568529791551375,0.9609019445593712,0.8917173953145175,1 per dtype (nvjet / scaled_mm),1,1,nvjet 256x256 2-CTA (fp16) / cutlass TF32 / _scaled_mm (fp8),matmul_kernel,matmul_kernel,"{""BLOCK_SIZE_M"": 256, ""BLOCK_SIZE_N"": 256, ""BLOCK_SIZE_K"": 64, ""GROUP_SIZE_M"": 8, ""num_warps"": 4, ""num_stages"": 3}","{""tm"": 256, ""tn"": 256, ""tk"": 64, ""group_size_m"": 8, ""occupancy"": 8}",NVIDIA_Report(2).pdf p2,results/csv/matmul_fp32_fp16_fp8_autotune.csv,523.74,464.80,1,1,0.966,0.962,yes
matmul_fp32_fp16_fp8,fp8_e4m3fn,K=20480,K=20480,,0.3148,0.2476,0.2037,1.27140549273021,1.5454099165439374,0.8226978998384491,1 per dtype (nvjet / scaled_mm),1,1,nvjet 256x256 2-CTA (fp16) / cutlass TF32 / _scaled_mm (fp8),matmul_kernel,matmul_kernel,"{""BLOCK_SIZE_M"": 256, ""BLOCK_SIZE_N"": 256, ""BLOCK_SIZE_K"": 128, ""GROUP_SIZE_M"": 8, ""num_warps"": 4, ""num_stages"": 3}","{""tm"": 256, ""tn"": 256, ""tk"": 128, ""group_size_m"": 8, ""occupancy"": 4}",NVIDIA_Report(2).pdf p2,results/csv/matmul_fp32_fp16_fp8_autotune.csv,262.78,222.88,1,1,1.061,1.094,yes
matmul_int8,int8,K=20480,K=20480,,3.4325,0.3272,0.3289,10.49052567237164,10.436302827607175,1.005195599022005,multiple (eager unpack + fp32 matmul + casts),1,1,fp32 SIMT matmul (emulation),matmul_kernel,matmul_kernel,"{""BLOCK_SIZE_M"": 256, ""BLOCK_SIZE_N"": 64, ""BLOCK_SIZE_K"": 64, ""GROUP_SIZE_M"": 8, ""num_warps"": 4, ""num_stages"": 4}","{""tm"": 256, ""tn"": 64, ""tk"": 32, ""group_size_m"": 8, ""occupancy"": 16}",NVIDIA_Report(2).pdf p18,results/csv/matmul_int8_autotune.csv,340.93,342.66,1,1,1.042,1.042,yes
matrix_copy,fp16,N=5120,N=5120,,0.0193,0.0191,0.0193,1.0104712041884818,1.0,1.0104712041884818,NA,1,1,NA (not stated in report),matrix_copy_kernel,matrix_copy_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 4, ""num_stages"": 1}","{""tile"": 1024, ""occupancy"": 8}",NVIDIA_Report(2).pdf p26,results/csv/matrix_copy_autotune.csv,21.50,22.43,1,1,1.126,1.162,yes
matrix_copy,bf16,N=5120,N=5120,,0.0191,0.0188,0.0191,1.0159574468085106,1.0,1.0159574468085106,NA,1,1,NA (not stated in report),matrix_copy_kernel,matrix_copy_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 4, ""num_stages"": 2}","{""tile"": 1024, ""occupancy"": 16}",NVIDIA_Report(2).pdf p26,results/csv/matrix_copy_autotune.csv,21.98,21.82,1,1,1.169,1.143,yes
matrix_copy,fp32,N=5120,N=5120,,0.0334,0.0339,0.0336,0.9852507374631269,0.9940476190476191,0.9911504424778761,NA,1,1,NA (not stated in report),matrix_copy_kernel,matrix_copy_kernel,"{""BLOCK_SIZE"": 4096, ""num_warps"": 4, ""num_stages"": 1}","{""tile"": 1024, ""occupancy"": 16}",NVIDIA_Report(2).pdf p26,results/csv/matrix_copy_autotune.csv,37.15,36.03,1,1,1.096,1.072,yes
matrix_copy,int8,N=5120,N=5120,,0.0155,0.0106,0.0108,1.4622641509433962,1.4351851851851851,1.0188679245283019,NA,1,1,NA (not stated in report),matrix_copy_kernel,matrix_copy_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 4, ""num_stages"": 2}","{""tile"": 2048, ""occupancy"": 8}",NVIDIA_Report(2).pdf p26,results/csv/matrix_copy_autotune.csv,13.41,13.86,1,1,1.265,1.283,yes
matrix_transpose,fp16,n=20480,n=20480,,0.3574,0.0541,0.0541,6.606284658040665,6.606284658040665,1.0,NA,1,1,NA (not stated in report),transpose_kernel,transpose_kernel,"{""BLOCK_TILE"": 64, ""num_warps"": 8}","{""tile"": 128, ""occupancy"": 4}",NVIDIA_Report(2).pdf p26,results/csv/matrix_transpose_autotune.csv,56.38,56.77,1,1,1.042,1.049,yes
matrix_transpose,bf16,n=20480,n=20480,,0.3569,0.0546,0.0544,6.5366300366300365,6.560661764705882,0.9963369963369962,NA,1,1,NA (not stated in report),transpose_kernel,transpose_kernel,"{""BLOCK_TILE"": 64, ""num_warps"": 8}","{""tile"": 128, ""occupancy"": 32}",NVIDIA_Report(2).pdf p26,results/csv/matrix_transpose_autotune.csv,57.09,55.94,1,1,1.046,1.028,yes
matrix_transpose,fp32,n=20480,n=20480,,0.3883,0.1038,0.104,3.740847784200385,3.733653846153846,1.001926782273603,NA,1,1,NA (not stated in report),transpose_kernel,transpose_kernel,"{""BLOCK_TILE"": 64, ""num_warps"": 8}","{""tile"": 64, ""occupancy"": 32}",NVIDIA_Report(2).pdf p26,results/csv/matrix_transpose_autotune.csv,106.56,107.10,1,1,1.027,1.030,yes
matrix_transpose,int8,n=20480,n=20480,,0.346,0.0306,0.0301,11.307189542483659,11.49501661129568,0.9836601307189542,NA,1,1,NA (not stated in report),transpose_kernel,transpose_kernel,"{""BLOCK_TILE"": 128, ""num_warps"": 8}","{""tile"": 128, ""occupancy"": 8}",NVIDIA_Report(2).pdf p26,results/csv/matrix_transpose_autotune.csv,32.74,32.54,1,1,1.070,1.081,yes
mean_reduction,fp16,N=20480,N=20480,,0.0276,0.0189,0.0207,1.4603174603174602,1.3333333333333333,1.0952380952380951,1 (ATen reduce_kernel),1,1,reduce_kernel<MeanOps>,mean_rowwise_kernel,mean_rowwise_kernel,"{""BLOCK_M"": 1, ""BLOCK_N"": 1024, ""num_warps"": 8}","{""tile_size"": 512, ""occupancy"": 4}",NVIDIA_Report(2).pdf p14,results/csv/mean_reduction_autotune.csv,21.15,22.02,1,1,1.119,1.064,yes
mean_reduction,bf16,N=20480,N=20480,,0.0275,0.0188,0.0225,1.4627659574468084,1.2222222222222223,1.1968085106382977,1 (ATen reduce_kernel),1,1,reduce_kernel<MeanOps>,mean_rowwise_kernel,mean_rowwise_kernel,"{""BLOCK_M"": 1, ""BLOCK_N"": 2048, ""num_warps"": 8}","{""tile_size"": 1024, ""occupancy"": 16}",NVIDIA_Report(2).pdf p14,results/csv/mean_reduction_autotune.csv,19.97,25.15,1,1,1.062,1.118,yes
mean_reduction,fp32,N=20480,N=20480,,0.0445,0.0349,0.0359,1.2750716332378222,1.2395543175487465,1.0286532951289398,1 (ATen reduce_kernel),1,1,reduce_kernel<MeanOps>,mean_rowwise_kernel,mean_rowwise_kernel,"{""BLOCK_M"": 1, ""BLOCK_N"": 512, ""num_warps"": 8}","{""tile_size"": 1024, ""occupancy"": 16}",NVIDIA_Report(2).pdf p14,results/csv/mean_reduction_autotune.csv,37.22,39.04,1,1,1.066,1.087,yes
moe_topk_gating,fp16,M=20480,M=20480,,0.1209,0.0126,0.0276,9.595238095238095,4.380434782608695,2.1904761904761902,~6,1,1,NA (not stated in report),moe_topk_gating_kernel,moe_topk_gating_kernel,"{""num_warps"": 1}","{""occupancy"": 8}",NVIDIA_Report(2).pdf p35,results/csv/moe_topk_gating_autotune.csv,15.71,30.72,1,1,1.247,1.113,yes
moe_topk_gating,bf16,M=20480,M=20480,,0.1328,0.0126,0.0273,10.53968253968254,4.864468864468864,2.166666666666667,~6,1,1,NA (not stated in report),moe_topk_gating_kernel,moe_topk_gating_kernel,"{""num_warps"": 1}","{""occupancy"": 32}",NVIDIA_Report(2).pdf p35,results/csv/moe_topk_gating_autotune.csv,16.10,30.40,1,1,1.277,1.114,yes
moe_topk_gating,fp32,M=20480,M=20480,,0.128,0.0127,0.0276,10.078740157480315,4.63768115942029,2.173228346456693,~6,1,1,NA (not stated in report),moe_topk_gating_kernel,moe_topk_gating_kernel,"{""num_warps"": 1}","{""occupancy"": 16}",NVIDIA_Report(2).pdf p35,results/csv/moe_topk_gating_autotune.csv,15.68,30.66,1,1,1.235,1.111,yes
mul2,fp16,n=20971520,n=20971520,,0.0158,0.0152,0.0161,1.0394736842105263,0.9813664596273293,1.0592105263157894,NA,1,1,NA (not stated in report),mul2_kernel,mul2_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 2}","{""tile"": 1024, ""occupancy"": 4}",NVIDIA_Report(2).pdf p26,results/csv/mul2_autotune.csv,18.08,19.65,1,1,1.189,1.220,yes
mul2,bf16,n=20971520,n=20971520,,0.0158,0.0152,0.016,1.0394736842105263,0.9875,1.0526315789473684,NA,1,1,NA (not stated in report),mul2_kernel,mul2_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 2}","{""tile"": 1024, ""occupancy"": 32}",NVIDIA_Report(2).pdf p26,results/csv/mul2_autotune.csv,17.89,18.88,1,1,1.177,1.180,yes
mul2,fp32,n=20971520,n=20971520,,0.0276,0.0275,0.0277,1.0036363636363637,0.996389891696751,1.0072727272727273,NA,1,1,NA (not stated in report),mul2_kernel,mul2_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 8}","{""tile"": 2048, ""occupancy"": 8}",NVIDIA_Report(2).pdf p26,results/csv/mul2_autotune.csv,29.54,30.27,1,1,1.074,1.093,yes
mul2,int8,n=20971520,n=20971520,,0.0128,0.0087,0.0099,1.4712643678160922,1.2929292929292928,1.137931034482759,NA,1,1,NA (not stated in report),mul2_kernel,mul2_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 2}","{""tile"": 2048, ""occupancy"": 16}",NVIDIA_Report(2).pdf p26,results/csv/mul2_autotune.csv,11.26,12.93,1,1,1.295,1.306,yes
quantize_global,fp32,n=20971520,n=20971520,,0.0217,0.0217,0.0217,1.0,1.0,1.0,NA,1,1,NA (not stated in report),quantize_kernel,quantize_kernel,"{""BLOCK_SIZE"": 4096, ""num_warps"": 4}","{""tile"": 4096, ""occupancy"": 4}",not covered in report,results/csv/quantize_global_autotune.csv,23.49,23.33,1,1,1.082,1.075,yes
radix_sort,int32,n=20000000,n=20000000,,0.8039,1.1227,2.2994,0.7160416852231227,0.3496129425067409,2.0480983343724946,CUB radix sort (multi-kernel),80,80,CUB radix sort,radix_scatter_kernel,radix_scatter_kernel,"{""num_warps"": 4}","{""occupancy"": 32}",NVIDIA_Report(2).pdf p8,results/csv/radix_sort_autotune.csv,1367.49,2540.80,80,80,1.218,1.105,yes
relu,fp16,n=20971520,n=20971520,,0.0184,0.0152,0.0153,1.2105263157894737,1.2026143790849673,1.006578947368421,1,1,1,ATen relu kernel,relu_kernel,relu_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 2}","{""tile"": 2048, ""occupancy"": 8}",NVIDIA_Report(2).pdf p37,results/csv/relu_autotune.csv,17.22,17.44,1,1,1.133,1.140,yes
relu,bf16,n=20971520,n=20971520,,0.0166,0.0151,0.0152,1.099337748344371,1.0921052631578947,1.0066225165562914,1,1,1,ATen relu kernel,relu_kernel,relu_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 2}","{""tile"": 2048, ""occupancy"": 4}",NVIDIA_Report(2).pdf p37,results/csv/relu_autotune.csv,17.28,17.95,1,1,1.144,1.181,yes
relu,fp32,n=20971520,n=20971520,,0.0276,0.0275,0.0277,1.0036363636363637,0.996389891696751,1.0072727272727273,1,1,1,ATen relu kernel,relu_kernel,relu_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 4}","{""tile"": 2048, ""occupancy"": 4}",NVIDIA_Report(2).pdf p37,results/csv/relu_autotune.csv,29.89,30.62,1,1,1.087,1.106,yes
relu,int8,n=20971520,n=20971520,,0.0138,0.0092,0.0123,1.5,1.121951219512195,1.3369565217391304,1,1,1,ATen relu kernel,relu_kernel,relu_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 2}","{""tile"": 2048, ""occupancy"": 8}",NVIDIA_Report(2).pdf p37,results/csv/relu_autotune.csv,11.87,15.20,1,1,1.290,1.236,yes
reverse_array,fp16,n=20000000,n=20000000,,0.0464,0.017,0.018,2.729411764705882,2.577777777777778,1.0588235294117645,1 (index_elementwise_kernel),1,1,index_elementwise_kernel (flip),reverse_kernel,reverse_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 4, ""num_stages"": 1}","{""tile"": 8192, ""occupancy"": 16}",NVIDIA_Report(2).pdf p33,results/csv/reverse_array_autotune.csv,19.58,20.29,1,1,1.152,1.127,yes
reverse_array,bf16,n=20000000,n=20000000,,0.0463,0.0161,0.0182,2.875776397515528,2.543956043956044,1.1304347826086958,1 (index_elementwise_kernel),1,1,index_elementwise_kernel (flip),reverse_kernel,reverse_kernel,"{""BLOCK_SIZE"": 8192, ""num_warps"": 8, ""num_stages"": 2}","{""tile"": 1024, ""occupancy"": 16}",NVIDIA_Report(2).pdf p33,results/csv/reverse_array_autotune.csv,19.55,20.93,1,1,1.214,1.150,yes
reverse_array,fp32,n=20000000,n=20000000,,0.0514,0.0264,0.0261,1.946969696969697,1.9693486590038314,0.9886363636363638,1 (index_elementwise_kernel),1,1,index_elementwise_kernel (flip),reverse_kernel,reverse_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 4, ""num_stages"": 2}","{""tile"": 1024, ""occupancy"": 8}",NVIDIA_Report(2).pdf p33,results/csv/reverse_array_autotune.csv,28.38,29.92,1,1,1.075,1.146,yes
reverse_array,int8,n=20000000,n=20000000,,0.0424,0.0126,0.0124,3.365079365079365,3.4193548387096775,0.9841269841269841,1 (index_elementwise_kernel),1,1,index_elementwise_kernel (flip),reverse_kernel,reverse_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 4, ""num_stages"": 1}","{""tile"": 8192, ""occupancy"": 4}",NVIDIA_Report(2).pdf p33,results/csv/reverse_array_autotune.csv,15.07,15.07,1,1,1.196,1.215,yes
rmsnorm,fp16,K=10240,K=10240,,0.0218,0.0189,0.0222,1.1534391534391535,0.9819819819819819,1.1746031746031746,1 (ATen layer_norm-derived),1,1,ATen layer_norm-derived,rmsnorm_kernel,rmsnorm_kernel,"{""BLOCK_N_SIZE"": 2048, ""num_warps"": 4, ""num_stages"": 2}","{""tile_size"": 1024, ""occupancy"": 16}",NVIDIA_Report(2).pdf p19,results/csv/rmsnorm_autotune.csv,21.79,23.84,1,1,1.153,1.074,yes
rmsnorm,bf16,K=10240,K=10240,,0.0218,0.0189,0.0214,1.1534391534391535,1.0186915887850467,1.132275132275132,1 (ATen layer_norm-derived),1,1,ATen layer_norm-derived,rmsnorm_kernel,rmsnorm_kernel,"{""BLOCK_N_SIZE"": 2048, ""num_warps"": 4, ""num_stages"": 2}","{""tile_size"": 2048, ""occupancy"": 16}",NVIDIA_Report(2).pdf p19,results/csv/rmsnorm_autotune.csv,21.73,23.10,1,1,1.150,1.080,yes
rmsnorm,fp32,K=10240,K=10240,,0.05,0.0332,0.034,1.5060240963855422,1.4705882352941175,1.0240963855421688,1 (ATen layer_norm-derived),1,1,ATen layer_norm-derived,rmsnorm_kernel,rmsnorm_kernel,"{""BLOCK_N_SIZE"": 2048, ""num_warps"": 8, ""num_stages"": 2}","{""tile_size"": 1024, ""occupancy"": 4}",NVIDIA_Report(2).pdf p19,results/csv/rmsnorm_autotune.csv,35.58,36.10,1,1,1.072,1.062,yes
rope,fp16,seq_len=20480,seq_len=20480,,0.5698,0.0509,0.053,11.194499017681729,10.750943396226415,1.0412573673870333,7,1,1,elementwise/vectorized_elementwise + CatArrayBatchedCopy,rope_embedding,rope_embedding,"{""ROPE_GROUP_SIZE"": 16, ""num_warps"": 4, ""num_stages"": 3}","{""group_size"": 16, ""occupancy"": 8}",NVIDIA_Report(2).pdf p17,results/csv/rope_autotune.csv,54.46,55.14,1,1,1.070,1.040,yes
rope,fp32,seq_len=20480,seq_len=20480,,0.7629,0.1044,0.103,7.307471264367816,7.406796116504855,0.9865900383141761,7,1,1,elementwise/vectorized_elementwise + CatArrayBatchedCopy,rope_embedding,rope_embedding,"{""ROPE_GROUP_SIZE"": 16, ""num_warps"": 4, ""num_stages"": 2}","{""group_size"": 16, ""occupancy"": 8}",NVIDIA_Report(2).pdf p17,results/csv/rope_autotune.csv,106.66,106.43,1,1,1.022,1.033,yes
sigmoid,fp16,n=50000000,n=50000000,,0.0452,0.0324,0.0477,1.3950617283950617,0.9475890985324947,1.4722222222222223,1,1,1,vectorized_elementwise_kernel,sigmoid_kernel,sigmoid_kernel,"{""BLOCK_SIZE"": 4096, ""num_warps"": 8, ""num_stages"": 1}","{""tile"": 4096, ""occupancy"": 16}",NVIDIA_Report(2).pdf p20,results/csv/sigmoid_autotune.csv,34.34,52.00,1,1,1.060,1.090,yes
sigmoid,bf16,n=50000000,n=50000000,,0.0464,0.032,0.0477,1.45,0.9727463312368972,1.4906249999999999,1,1,1,vectorized_elementwise_kernel,sigmoid_kernel,sigmoid_kernel,"{""BLOCK_SIZE"": 4096, ""num_warps"": 8, ""num_stages"": 1}","{""tile"": 4096, ""occupancy"": 16}",NVIDIA_Report(2).pdf p20,results/csv/sigmoid_autotune.csv,34.24,51.39,1,1,1.070,1.077,yes
sigmoid,fp32,n=50000000,n=50000000,,0.0608,0.0609,0.061,0.9983579638752053,0.9967213114754099,1.0016420361247946,1,1,1,vectorized_elementwise_kernel,sigmoid_kernel,sigmoid_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 8, ""num_stages"": 1}","{""tile"": 2048, ""occupancy"": 8}",NVIDIA_Report(2).pdf p20,results/csv/sigmoid_autotune.csv,63.10,65.06,1,1,1.036,1.066,yes
softmax,fp16,n_cols=10240,n_cols=10240,,0.045,0.0226,0.0412,1.991150442477876,1.0922330097087378,1.8230088495575223,1,1,1,torch.softmax kernel,softmax_online_kernel,softmax_online_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 4}","{""block_size"": 2048, ""occupancy"": 8}",NVIDIA_Report(2).pdf p36,results/csv/softmax_autotune.csv,25.38,44.19,1,1,1.123,1.073,yes
softmax,fp32,n_cols=10240,n_cols=10240,,0.0501,0.0357,0.0442,1.403361344537815,1.1334841628959276,1.2380952380952381,1,1,1,torch.softmax kernel,softmax_online_kernel,softmax_online_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 8}","{""block_size"": 2048, ""occupancy"": 8}",NVIDIA_Report(2).pdf p36,results/csv/softmax_autotune.csv,37.92,47.39,1,1,1.062,1.072,yes
streamk_matmul,fp16,"m=8192, n=28672","m=8192, n=28672","m=1024, n=28672",1.3547,2.5126,2.6735,0.5391626203932182,0.5067140452590237,1.0640372522486667,1 (cuBLAS/CUTLASS GEMM),4,4,cuBLAS/CUTLASS GEMM (2-SM cluster MMA),full_tiles,full_tiles,"{""BLOCK_M"": 128, ""BLOCK_N"": 128, ""BLOCK_K"": 64, ""GROUP_M"": 8, ""num_warps"": 4, ""num_stages"": 3}","{""tm"": 128, ""tn"": 128, ""tk"": 64, ""group_m"": 8, ""occupancy"": 16}",NVIDIA_Report(2).pdf p34,results/csv/streamk_matmul_autotune.csv,1971.42,2237.60,2,2,0.785,0.837,yes
streamk_matmul,bf16,"m=8192, n=28672","m=8192, n=28672","m=1024, n=28672",1.2546,2.5128,2.6108,0.4992836676217765,0.48054236249425464,1.0390003183699459,1 (cuBLAS/CUTLASS GEMM),4,4,cuBLAS/CUTLASS GEMM (2-SM cluster MMA),full_tiles,full_tiles,"{""BLOCK_M"": 128, ""BLOCK_N"": 256, ""BLOCK_K"": 64, ""GROUP_M"": 8, ""num_warps"": 8, ""num_stages"": 3}","{""tm"": 128, ""tn"": 128, ""tk"": 64, ""group_m"": 8, ""occupancy"": 8}",NVIDIA_Report(2).pdf p34,results/csv/streamk_matmul_autotune.csv,2082.37,2186.85,2,2,0.829,0.838,yes
streamk_matmul,fp32,"m=8192, n=28672","m=8192, n=28672","m=1024, n=28672",2.7182,4.1467,4.3075,0.655509200086816,0.6310388856645386,1.0387778233293945,1 (cuBLAS/CUTLASS GEMM),3,3,cuBLAS/CUTLASS GEMM (2-SM cluster MMA),full_tiles,full_tiles,"{""BLOCK_M"": 128, ""BLOCK_N"": 128, ""BLOCK_K"": 32, ""GROUP_M"": 8, ""num_warps"": 4, ""num_stages"": 3}","{""tm"": 128, ""tn"": 128, ""tk"": 32, ""group_m"": 8, ""occupancy"": 8}",NVIDIA_Report(2).pdf p34,results/csv/streamk_matmul_autotune.csv,3646.11,3752.03,2,2,0.879,0.871,yes
swiglu,fp16,N=20480,N=20480,,0.1483,0.0753,0.1,1.9694555112881802,1.4829999999999999,1.3280212483399734,2,1,1,NA (not stated in report),swiglu_kernel,swiglu_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 4}","{""tile"": 8192, ""occupancy"": 8}",NVIDIA_Report(2).pdf p25,results/csv/swiglu_autotune.csv,77.38,103.55,1,1,1.028,1.036,yes
swiglu,bf16,N=20480,N=20480,,0.1497,0.0775,0.1007,1.9316129032258065,1.4865938430983119,1.2993548387096774,2,1,1,NA (not stated in report),swiglu_kernel,swiglu_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 4}","{""tile"": 8192, ""occupancy"": 8}",NVIDIA_Report(2).pdf p25,results/csv/swiglu_autotune.csv,78.88,104.16,1,1,1.018,1.034,yes
swiglu,fp32,N=20480,N=20480,,0.2448,0.1443,0.1472,1.6964656964656963,1.6630434782608696,1.02009702009702,2,1,1,NA (not stated in report),swiglu_kernel,swiglu_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 8}","{""tile"": 1024, ""occupancy"": 4}",NVIDIA_Report(2).pdf p25,results/csv/swiglu_autotune.csv,145.89,149.70,1,1,1.011,1.017,yes
top_k_selection,fp32,"N=1048576, k=1024","N=1048576, k=1024","N=1048576, k=16",0.1772,0.1719,0.1087,1.0308318789994182,1.6301747930082795,0.6323443862710879,torch.topk multi-kernel,10,10,gatherTopK/radix-select,block_topk_kernel,block_topk_kernel_b2048,"{""BLOCK_SIZE"": 2048, ""num_warps"": 8}","{""block"": 2048, ""occupancy"": 4, ""K2"": 1024}",NVIDIA_Report(2).pdf p10,results/csv/top_k_selection_autotune.csv,197.98,135.46,10,10,1.152,1.246,yes
vector_add,fp16,n=20971520,n=20971520,,0.023,0.0221,0.022,1.0407239819004523,1.0454545454545454,0.9954751131221719,NA,1,1,NA (not stated in report),add_kernel,add_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 8}","{""tile"": 1024, ""occupancy"": 16}",not covered in report,results/csv/vector_add_autotune.csv,24.03,23.94,1,1,1.087,1.088,yes
vector_add,bf16,n=20971520,n=20971520,,0.0232,0.0218,0.0219,1.0642201834862384,1.0593607305936072,1.0045871559633026,NA,1,1,NA (not stated in report),add_kernel,add_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 2}","{""tile"": 2048, ""occupancy"": 16}",not covered in report,results/csv/vector_add_autotune.csv,23.74,24.70,1,1,1.089,1.128,yes
vector_add,fp32,n=20971520,n=20971520,,0.0402,0.0396,0.0396,1.0151515151515151,1.0151515151515151,1.0,NA,1,1,NA (not stated in report),add_kernel,add_kernel,"{""BLOCK_SIZE"": 1024, ""num_warps"": 8}","{""tile"": 512, ""occupancy"": 16}",not covered in report,results/csv/vector_add_autotune.csv,41.54,41.63,1,1,1.049,1.051,yes
vector_add,int8,n=20971520,n=20971520,,0.0147,0.0127,0.013,1.1574803149606299,1.1307692307692307,1.0236220472440944,NA,1,1,NA (not stated in report),add_kernel,add_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 4}","{""tile"": 2048, ""occupancy"": 32}",not covered in report,results/csv/vector_add_autotune.csv,14.75,15.97,1,1,1.162,1.228,yes
weight_dequant,fp16,M=10240,M=10240,,1.3179,0.0679,0.1864,19.409425625920473,7.070278969957082,2.7452135493372607,multiple (advanced indexing),1,1,NA (not stated in report),dequant_kernel,dequant_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 4}","{""tile"": 4096, ""occupancy"": 4}",NVIDIA_Report(2).pdf p12,results/csv/weight_dequant_autotune.csv,69.70,188.61,1,1,1.026,1.012,yes
weight_dequant,bf16,M=10240,M=10240,,1.3198,0.0677,0.1865,19.49483013293944,7.076675603217159,2.75480059084195,multiple (advanced indexing),1,1,NA (not stated in report),dequant_kernel,dequant_kernel,"{""BLOCK_SIZE"": 2048, ""num_warps"": 4}","{""tile"": 4096, ""occupancy"": 4}",NVIDIA_Report(2).pdf p12,results/csv/weight_dequant_autotune.csv,70.21,188.58,1,1,1.037,1.011,yes
