op,params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,ratio_triton_over_cutile
l2_norm,K=6144,fp16,0.0960,0.0108,0.0144,8.89,6.67,0.7500
l2_norm,K=6144,bf16,0.0980,0.0110,0.0140,8.87,7.01,0.7857
l2_norm,K=6144,fp32,0.0632,0.0217,0.0201,2.92,3.14,1.0796
l2_norm,K=6656,fp16,0.1097,0.0119,0.0161,9.25,6.83,0.7391
l2_norm,K=6656,bf16,0.1090,0.0120,0.0156,9.10,6.97,0.7692
l2_norm,K=6656,fp32,0.0691,0.0245,0.0218,2.82,3.17,1.1239
l2_norm,K=7168,fp16,0.1209,0.0125,0.0164,9.71,7.37,0.7622
l2_norm,K=7168,bf16,0.1200,0.0126,0.0164,9.52,7.31,0.7683
l2_norm,K=7168,fp32,0.0749,0.0257,0.0229,2.92,3.27,1.1223
l2_norm,K=7680,fp16,0.1304,0.0149,0.0191,8.73,6.82,0.7801
l2_norm,K=7680,bf16,0.1317,0.0149,0.0188,8.86,7.02,0.7926
l2_norm,K=7680,fp32,0.0801,0.0281,0.0248,2.85,3.23,1.1331
l2_norm,K=8192,fp16,0.1230,0.0144,0.0199,8.55,6.18,0.7236
l2_norm,K=8192,bf16,0.1235,0.0140,0.0197,8.80,6.27,0.7107
l2_norm,K=8192,fp32,0.0730,0.0299,0.0262,2.44,2.78,1.1412
l2_norm,K=8704,fp16,0.1321,0.0164,0.0204,8.03,6.48,0.8039
l2_norm,K=8704,bf16,0.1324,0.0167,0.0208,7.94,6.37,0.8029
l2_norm,K=8704,fp32,0.0783,0.0334,0.0278,2.35,2.82,1.2014
l2_norm,K=9216,fp16,0.1412,0.0158,0.0206,8.92,6.84,0.7670
l2_norm,K=9216,bf16,0.1414,0.0157,0.0216,9.01,6.55,0.7269
l2_norm,K=9216,fp32,0.0826,0.0338,0.0294,2.44,2.81,1.1497
l2_norm,K=9728,fp16,0.1511,0.0173,0.0237,8.73,6.37,0.7300
l2_norm,K=9728,bf16,0.1514,0.0176,0.0217,8.62,6.97,0.8111
l2_norm,K=9728,fp32,0.0865,0.0372,0.0312,2.33,2.77,1.1923
l2_norm,K=10240,fp16,0.1597,0.0175,0.0244,9.13,6.54,0.7172
l2_norm,K=10240,bf16,0.1596,0.0178,0.0221,8.95,7.22,0.8054
l2_norm,K=10240,fp32,0.0908,0.0386,0.0336,2.35,2.70,1.1488
linear_self_attention,"D=32, M=1024",fp32,0.0457,0.0552,0.1702,0.83,0.27,0.3243
linear_self_attention,"D=64, M=1024",fp32,0.0426,0.1198,0.4043,0.36,0.11,0.2963
linear_self_attention,"D=128, M=1024",fp32,0.0426,0.2931,1.0187,0.15,0.04,0.2877
linear_self_attention,"D=256, M=1024",fp32,0.0588,0.8272,3.0277,0.07,0.02,0.2732
linear_self_attention,"D=32, M=2048",fp32,0.0551,0.0673,0.2103,0.82,0.26,0.3200
linear_self_attention,"D=64, M=2048",fp32,0.0569,0.1540,0.5501,0.37,0.10,0.2799
linear_self_attention,"D=128, M=2048",fp32,0.0618,0.4211,1.5390,0.15,0.04,0.2736
linear_self_attention,"D=256, M=2048",fp32,0.0721,1.3281,5.0410,0.05,0.01,0.2635
linear_self_attention,"D=32, M=4096",fp32,0.0631,0.0890,0.3005,0.71,0.21,0.2962
linear_self_attention,"D=64, M=4096",fp32,0.0699,0.2234,0.8381,0.31,0.08,0.2666
linear_self_attention,"D=128, M=4096",fp32,0.0776,0.6825,2.5936,0.11,0.03,0.2631
linear_self_attention,"D=256, M=4096",fp32,0.0963,2.3385,9.0792,0.04,0.01,0.2576
linear_self_attention,"D=32, M=8192",fp32,0.0609,0.1392,0.4763,0.44,0.13,0.2923
linear_self_attention,"D=64, M=8192",fp32,0.0666,0.3635,1.4283,0.18,0.05,0.2545
linear_self_attention,"D=128, M=8192",fp32,0.1042,1.2006,4.6836,0.09,0.02,0.2563
linear_self_attention,"D=256, M=8192",fp32,0.1356,4.3515,17.1482,0.03,0.01,0.2538
linear_self_attention,"D=32, M=10000",fp32,0.0683,0.1569,0.5603,0.44,0.12,0.2800
linear_self_attention,"D=64, M=10000",fp32,0.0758,0.4247,1.6917,0.18,0.04,0.2510
linear_self_attention,"D=128, M=10000",fp32,0.1182,1.4542,5.5878,0.08,0.02,0.2602
linear_self_attention,"D=256, M=10000",fp32,0.1587,5.4087,20.7840,0.03,0.01,0.2602
mean_reduction,N=1024,fp16,0.0127,0.0026,0.0028,4.86,4.53,0.9286
mean_reduction,N=1024,bf16,0.0129,0.0027,0.0028,4.85,4.63,0.9643
mean_reduction,N=1024,fp32,0.0069,0.0028,0.0031,2.47,2.20,0.9032
mean_reduction,N=2048,fp16,0.0200,0.0028,0.0037,7.21,5.34,0.7568
mean_reduction,N=2048,bf16,0.0198,0.0028,0.0039,7.04,5.13,0.7179
mean_reduction,N=2048,fp32,0.0101,0.0035,0.0039,2.85,2.58,0.8974
mean_reduction,N=3072,fp16,0.0287,0.0034,0.0052,8.53,5.58,0.6538
mean_reduction,N=3072,bf16,0.0290,0.0033,0.0053,8.70,5.48,0.6226
mean_reduction,N=3072,fp32,0.0154,0.0051,0.0053,3.01,2.91,0.9623
mean_reduction,N=4096,fp16,0.0360,0.0038,0.0061,9.51,5.89,0.6230
mean_reduction,N=4096,bf16,0.0362,0.0036,0.0061,10.07,5.89,0.5902
mean_reduction,N=4096,fp32,0.0197,0.0071,0.0076,2.78,2.61,0.9342
mean_reduction,N=5120,fp16,0.0443,0.0044,0.0077,10.11,5.77,0.5714
mean_reduction,N=5120,bf16,0.0448,0.0049,0.0078,9.10,5.77,0.6282
mean_reduction,N=5120,fp32,0.0252,0.0096,0.0103,2.63,2.46,0.9320
mean_reduction,N=6144,fp16,0.0539,0.0056,0.0097,9.61,5.53,0.5773
mean_reduction,N=6144,bf16,0.0537,0.0051,0.0095,10.48,5.66,0.5368
mean_reduction,N=6144,fp32,0.0294,0.0119,0.0125,2.48,2.36,0.9520
mean_reduction,N=7168,fp16,0.0702,0.0062,0.0114,11.29,6.14,0.5439
mean_reduction,N=7168,bf16,0.0704,0.0061,0.0117,11.54,6.00,0.5214
mean_reduction,N=7168,fp32,0.0348,0.0140,0.0143,2.48,2.43,0.9790
mean_reduction,N=8192,fp16,0.0622,0.0078,0.0163,7.97,3.81,0.4785
mean_reduction,N=8192,bf16,0.0622,0.0079,0.0160,7.88,3.88,0.4938
mean_reduction,N=8192,fp32,0.0232,0.0156,0.0160,1.48,1.45,0.9750
mean_reduction,N=9216,fp16,0.0715,0.0086,0.0194,8.27,3.68,0.4433
mean_reduction,N=9216,bf16,0.0717,0.0088,0.0196,8.16,3.66,0.4490
mean_reduction,N=9216,fp32,0.0261,0.0172,0.0177,1.52,1.47,0.9718
mean_reduction,N=10240,fp16,0.0808,0.0101,0.0217,8.01,3.71,0.4654
mean_reduction,N=10240,bf16,0.0814,0.0101,0.0219,8.04,3.71,0.4612
mean_reduction,N=10240,fp32,0.0271,0.0188,0.0194,1.44,1.39,0.9691
mean_reduction,N=11264,fp16,0.0898,0.0112,0.0295,8.02,3.04,0.3797
mean_reduction,N=11264,bf16,0.0909,0.0111,0.0237,8.15,3.84,0.4684
mean_reduction,N=11264,fp32,0.0299,0.0208,0.0212,1.44,1.41,0.9811
mean_reduction,N=12288,fp16,0.0980,0.0123,0.0326,7.99,3.01,0.3773
mean_reduction,N=12288,bf16,0.0990,0.0123,0.0261,8.08,3.79,0.4713
mean_reduction,N=12288,fp32,0.0312,0.0225,0.0231,1.39,1.35,0.9740
mean_reduction,N=13312,fp16,0.1070,0.0131,0.0350,8.17,3.06,0.3743
mean_reduction,N=13312,bf16,0.1079,0.0132,0.0277,8.19,3.89,0.4765
mean_reduction,N=13312,fp32,0.0336,0.0243,0.0246,1.38,1.37,0.9878
mean_reduction,N=14336,fp16,0.1140,0.0141,0.0374,8.06,3.05,0.3770
mean_reduction,N=14336,bf16,0.1153,0.0144,0.0296,8.03,3.89,0.4865
mean_reduction,N=14336,fp32,0.0348,0.0254,0.0261,1.37,1.34,0.9732
mean_reduction,N=15360,fp16,0.1222,0.0146,0.0481,8.38,2.54,0.3035
mean_reduction,N=15360,bf16,0.1233,0.0146,0.0154,8.42,8.02,0.9481
mean_reduction,N=15360,fp32,0.0376,0.0303,0.0307,1.24,1.23,0.9870
mean_reduction,N=16384,fp16,0.1291,0.0156,0.0508,8.25,2.54,0.3071
mean_reduction,N=16384,bf16,0.1303,0.0156,0.0192,8.37,6.80,0.8125
mean_reduction,N=16384,fp32,0.0390,0.0338,0.0339,1.15,1.15,0.9971
mean_reduction,N=17408,fp16,0.1361,0.0168,0.0539,8.09,2.53,0.3117
mean_reduction,N=17408,bf16,0.1378,0.0170,0.0173,8.12,7.95,0.9827
mean_reduction,N=17408,fp32,0.0403,0.0319,0.0323,1.26,1.25,0.9876
mean_reduction,N=18432,fp16,0.1428,0.0176,0.0566,8.13,2.52,0.3110
mean_reduction,N=18432,bf16,0.1444,0.0201,0.0215,7.18,6.72,0.9349
mean_reduction,N=18432,fp32,0.0416,0.0322,0.0323,1.29,1.29,0.9969
mean_reduction,N=19456,fp16,0.1501,0.0184,0.0594,8.17,2.53,0.3098
mean_reduction,N=19456,bf16,0.1515,0.0212,0.0195,7.14,7.75,1.0872
mean_reduction,N=19456,fp32,0.0433,0.0340,0.0339,1.27,1.28,1.0029
mean_reduction,N=20480,fp16,0.1563,0.0191,0.0621,8.20,2.52,0.3076
mean_reduction,N=20480,bf16,0.1577,0.0222,0.0237,7.10,6.65,0.9367
mean_reduction,N=20480,fp32,0.0447,0.0357,0.0364,1.25,1.23,0.9808
moe_topk_gating,M=1024,fp16,0.0307,0.0026,0.0030,11.75,10.32,0.8667
moe_topk_gating,M=1024,bf16,0.0313,0.0026,0.0030,12.09,10.45,0.8667
moe_topk_gating,M=1024,fp32,0.0254,0.0026,0.0030,9.59,8.55,0.8667
moe_topk_gating,M=2048,fp16,0.0318,0.0037,0.0043,8.63,7.35,0.8605
moe_topk_gating,M=2048,bf16,0.0305,0.0036,0.0044,8.46,7.01,0.8182
moe_topk_gating,M=2048,fp32,0.0261,0.0037,0.0044,7.01,6.00,0.8409
moe_topk_gating,M=3072,fp16,0.0345,0.0049,0.0058,7.02,5.96,0.8448
moe_topk_gating,M=3072,bf16,0.0344,0.0048,0.0057,7.17,6.05,0.8421
moe_topk_gating,M=3072,fp32,0.0286,0.0049,0.0059,5.86,4.85,0.8305
moe_topk_gating,M=4096,fp16,0.0333,0.0060,0.0069,5.58,4.83,0.8696
moe_topk_gating,M=4096,bf16,0.0351,0.0059,0.0070,5.97,5.05,0.8429
moe_topk_gating,M=4096,fp32,0.0279,0.0059,0.0069,4.73,4.04,0.8551
moe_topk_gating,M=5120,fp16,0.0372,0.0070,0.0083,5.31,4.50,0.8434
moe_topk_gating,M=5120,bf16,0.0358,0.0069,0.0083,5.21,4.34,0.8313
moe_topk_gating,M=5120,fp32,0.0313,0.0070,0.0082,4.48,3.79,0.8537
moe_topk_gating,M=6144,fp16,0.0378,0.0081,0.0095,4.66,3.97,0.8526
moe_topk_gating,M=6144,bf16,0.0386,0.0079,0.0095,4.88,4.06,0.8316
moe_topk_gating,M=6144,fp32,0.0307,0.0080,0.0095,3.83,3.22,0.8421
moe_topk_gating,M=7168,fp16,0.0407,0.0093,0.0108,4.39,3.76,0.8611
moe_topk_gating,M=7168,bf16,0.0410,0.0089,0.0108,4.59,3.80,0.8241
moe_topk_gating,M=7168,fp32,0.0340,0.0091,0.0109,3.75,3.12,0.8349
moe_topk_gating,M=8192,fp16,0.0403,0.0103,0.0121,3.92,3.34,0.8512
moe_topk_gating,M=8192,bf16,0.0410,0.0100,0.0121,4.08,3.39,0.8264
moe_topk_gating,M=8192,fp32,0.0339,0.0102,0.0122,3.33,2.79,0.8361
moe_topk_gating,M=9216,fp16,0.0417,0.0114,0.0134,3.67,3.12,0.8507
moe_topk_gating,M=9216,bf16,0.0424,0.0111,0.0134,3.81,3.16,0.8284
moe_topk_gating,M=9216,fp32,0.0351,0.0113,0.0135,3.12,2.61,0.8370
moe_topk_gating,M=10240,fp16,0.0445,0.0125,0.0147,3.57,3.03,0.8503
moe_topk_gating,M=10240,bf16,0.0452,0.0121,0.0147,3.74,3.08,0.8231
moe_topk_gating,M=10240,fp32,0.0368,0.0123,0.0147,3.00,2.50,0.8367
moe_topk_gating,M=11264,fp16,0.0453,0.0135,0.0160,3.35,2.83,0.8438
moe_topk_gating,M=11264,bf16,0.0455,0.0132,0.0159,3.46,2.86,0.8302
moe_topk_gating,M=11264,fp32,0.0372,0.0133,0.0160,2.79,2.32,0.8312
moe_topk_gating,M=12288,fp16,0.0471,0.0146,0.0172,3.22,2.73,0.8488
moe_topk_gating,M=12288,bf16,0.0465,0.0142,0.0172,3.27,2.69,0.8256
moe_topk_gating,M=12288,fp32,0.0380,0.0144,0.0173,2.64,2.19,0.8324
moe_topk_gating,M=13312,fp16,0.0472,0.0157,0.0186,3.00,2.54,0.8441
moe_topk_gating,M=13312,bf16,0.0469,0.0153,0.0185,3.07,2.53,0.8270
moe_topk_gating,M=13312,fp32,0.0380,0.0155,0.0187,2.45,2.03,0.8289
moe_topk_gating,M=14336,fp16,0.0493,0.0168,0.0199,2.93,2.47,0.8442
moe_topk_gating,M=14336,bf16,0.0497,0.0163,0.0199,3.05,2.50,0.8191
moe_topk_gating,M=14336,fp32,0.0397,0.0166,0.0199,2.40,2.00,0.8342
moe_topk_gating,M=15360,fp16,0.0513,0.0179,0.0212,2.86,2.42,0.8443
moe_topk_gating,M=15360,bf16,0.0510,0.0173,0.0211,2.95,2.42,0.8199
moe_topk_gating,M=15360,fp32,0.0412,0.0176,0.0211,2.34,1.95,0.8341
moe_topk_gating,M=16384,fp16,0.0516,0.0189,0.0225,2.72,2.30,0.8400
moe_topk_gating,M=16384,bf16,0.0516,0.0184,0.0225,2.80,2.30,0.8178
moe_topk_gating,M=16384,fp32,0.0407,0.0187,0.0225,2.17,1.81,0.8311
moe_topk_gating,M=17408,fp16,0.0535,0.0200,0.0237,2.67,2.26,0.8439
moe_topk_gating,M=17408,bf16,0.0543,0.0195,0.0237,2.79,2.29,0.8228
moe_topk_gating,M=17408,fp32,0.0440,0.0199,0.0238,2.21,1.85,0.8361
moe_topk_gating,M=18432,fp16,0.0529,0.0212,0.0250,2.49,2.12,0.8480
moe_topk_gating,M=18432,bf16,0.0545,0.0206,0.0250,2.64,2.18,0.8240
moe_topk_gating,M=18432,fp32,0.0441,0.0209,0.0251,2.11,1.76,0.8327
moe_topk_gating,M=19456,fp16,0.0562,0.0222,0.0262,2.53,2.14,0.8473
moe_topk_gating,M=19456,bf16,0.0553,0.0216,0.0263,2.56,2.10,0.8213
moe_topk_gating,M=19456,fp32,0.0458,0.0220,0.0264,2.09,1.73,0.8333
moe_topk_gating,M=20480,fp16,0.0560,0.0234,0.0275,2.40,2.03,0.8509
moe_topk_gating,M=20480,bf16,0.0575,0.0227,0.0276,2.53,2.08,0.8225
moe_topk_gating,M=20480,fp32,0.0449,0.0230,0.0275,1.95,1.63,0.8364
streamk_matmul,"m=1024, n=4096",fp16,0.0274,0.1058,0.5287,0.26,0.05,0.2001
streamk_matmul,"m=1024, n=4096",bf16,0.0269,0.1061,0.5266,0.25,0.05,0.2015
streamk_matmul,"m=1024, n=4096",fp32,0.6078,0.3480,0.5693,1.75,1.07,0.6113
streamk_matmul,"m=1024, n=5120",fp16,0.0331,0.1328,0.7084,0.25,0.05,0.1875
streamk_matmul,"m=1024, n=5120",bf16,0.0324,0.1341,0.7088,0.24,0.05,0.1892
streamk_matmul,"m=1024, n=5120",fp32,0.7858,0.4432,0.8009,1.77,0.98,0.5534
streamk_matmul,"m=1024, n=11008",fp16,0.0784,0.2086,1.1271,0.38,0.07,0.1851
streamk_matmul,"m=1024, n=11008",bf16,0.0781,0.2077,1.1263,0.38,0.07,0.1844
streamk_matmul,"m=1024, n=11008",fp32,1.5551,0.8935,1.3416,1.74,1.16,0.6660
streamk_matmul,"m=1024, n=14336",fp16,0.0928,0.2318,1.3149,0.40,0.07,0.1763
streamk_matmul,"m=1024, n=14336",bf16,0.0911,0.2311,1.3100,0.39,0.07,0.1764
streamk_matmul,"m=1024, n=14336",fp32,2.0155,1.1386,1.4482,1.77,1.39,0.7862
streamk_matmul,"m=1024, n=28672",fp16,0.1666,0.3915,2.2669,0.43,0.07,0.1727
streamk_matmul,"m=1024, n=28672",bf16,0.1615,0.3888,2.2774,0.42,0.07,0.1707
streamk_matmul,"m=1024, n=28672",fp32,3.8591,2.2246,2.5343,1.73,1.52,0.8778
streamk_matmul,"m=2048, n=4096",fp16,0.0495,0.1498,0.8757,0.33,0.06,0.1711
streamk_matmul,"m=2048, n=4096",bf16,0.0485,0.1496,0.8780,0.32,0.06,0.1704
streamk_matmul,"m=2048, n=4096",fp32,1.2421,0.6771,1.0603,1.83,1.17,0.6386
streamk_matmul,"m=2048, n=5120",fp16,0.0557,0.1873,1.0234,0.30,0.05,0.1830
streamk_matmul,"m=2048, n=5120",bf16,0.0550,0.1866,1.0220,0.29,0.05,0.1826
streamk_matmul,"m=2048, n=5120",fp32,1.3988,0.8334,1.2087,1.68,1.16,0.6895
streamk_matmul,"m=2048, n=11008",fp16,0.1164,0.3142,1.8305,0.37,0.06,0.1716
streamk_matmul,"m=2048, n=11008",bf16,0.1141,0.3122,1.8321,0.37,0.06,0.1704
streamk_matmul,"m=2048, n=11008",fp32,2.9399,1.7268,2.0881,1.70,1.41,0.8270
streamk_matmul,"m=2048, n=14336",fp16,0.1529,0.3946,2.2557,0.39,0.07,0.1749
streamk_matmul,"m=2048, n=14336",bf16,0.1475,0.3931,2.2660,0.38,0.07,0.1735
streamk_matmul,"m=2048, n=14336",fp32,3.8655,2.2286,2.5394,1.73,1.52,0.8776
streamk_matmul,"m=2048, n=28672",fp16,0.3008,0.7067,4.0391,0.43,0.07,0.1750
streamk_matmul,"m=2048, n=28672",bf16,0.2892,0.6973,4.0444,0.41,0.07,0.1724
streamk_matmul,"m=2048, n=28672",fp32,7.5473,4.3952,4.5312,1.72,1.67,0.9700
streamk_matmul,"m=4096, n=4096",fp16,0.0937,0.2641,1.3806,0.35,0.07,0.1913
streamk_matmul,"m=4096, n=4096",bf16,0.0924,0.2616,1.3760,0.35,0.07,0.1901
streamk_matmul,"m=4096, n=4096",fp32,2.1725,1.2976,1.7249,1.67,1.26,0.7523
streamk_matmul,"m=4096, n=5120",fp16,0.1147,0.3075,1.6871,0.37,0.07,0.1823
streamk_matmul,"m=4096, n=5120",bf16,0.1131,0.3035,1.6818,0.37,0.07,0.1805
streamk_matmul,"m=4096, n=5120",fp32,2.7917,1.6131,2.0014,1.73,1.39,0.8060
streamk_matmul,"m=4096, n=11008",fp16,0.2304,0.5652,3.2215,0.41,0.07,0.1754
streamk_matmul,"m=4096, n=11008",bf16,0.2221,0.5613,3.2114,0.40,0.07,0.1748
streamk_matmul,"m=4096, n=11008",fp32,5.8811,3.3910,3.6759,1.73,1.60,0.9225
streamk_matmul,"m=4096, n=14336",fp16,0.3003,0.7065,4.0155,0.43,0.07,0.1759
streamk_matmul,"m=4096, n=14336",bf16,0.2895,0.6985,4.0077,0.41,0.07,0.1743
streamk_matmul,"m=4096, n=14336",fp32,7.5494,4.3945,4.5274,1.72,1.67,0.9706
streamk_matmul,"m=4096, n=28672",fp16,0.6074,1.3385,7.5808,0.45,0.08,0.1766
streamk_matmul,"m=4096, n=28672",bf16,0.5801,1.3178,7.6039,0.44,0.08,0.1733
streamk_matmul,"m=4096, n=28672",fp32,14.8982,8.7149,8.4935,1.71,1.75,1.0261
streamk_matmul,"m=8192, n=4096",fp16,0.1655,0.4188,2.2208,0.40,0.07,0.1886
streamk_matmul,"m=8192, n=4096",bf16,0.1598,0.4164,2.2199,0.38,0.07,0.1876
streamk_matmul,"m=8192, n=4096",fp32,4.3339,2.5356,2.9001,1.71,1.49,0.8743
streamk_matmul,"m=8192, n=5120",fp16,0.2113,0.5099,2.8587,0.41,0.07,0.1784
streamk_matmul,"m=8192, n=5120",bf16,0.2034,0.5143,2.8721,0.40,0.07,0.1791
streamk_matmul,"m=8192, n=5120",fp32,5.3987,3.1596,3.3492,1.71,1.61,0.9434
streamk_matmul,"m=8192, n=11008",fp16,0.4585,1.0504,5.8531,0.44,0.08,0.1795
streamk_matmul,"m=8192, n=11008",bf16,0.4399,1.0352,5.8505,0.42,0.08,0.1769
streamk_matmul,"m=8192, n=11008",fp32,11.3456,6.7096,6.6114,1.69,1.72,1.0149
streamk_matmul,"m=8192, n=14336",fp16,0.6047,1.3420,7.5166,0.45,0.08,0.1785
streamk_matmul,"m=8192, n=14336",bf16,0.5772,1.3178,7.5189,0.44,0.08,0.1753
streamk_matmul,"m=8192, n=14336",fp32,14.8041,8.7196,8.4949,1.70,1.74,1.0265
streamk_matmul,"m=8192, n=28672",fp16,1.2296,2.6294,14.6603,0.47,0.08,0.1794
streamk_matmul,"m=8192, n=28672",bf16,1.1696,2.5741,14.6604,0.45,0.08,0.1756
streamk_matmul,"m=8192, n=28672",fp32,29.2179,17.3901,16.3907,1.68,1.78,1.0610
